method,hospital,seed,split,roc,pr,mcc,f1p,sens,spec,n,neff,u_mean,u_std
B1_mean,xiangya,42,val,0.6222222222222222,0.4256198953209638,0.13770607453181927,0.5428571428571428,0.95,0.1388888888888889,56,11.999999999999998,0.0,0.0
B1_mean,xiangya,42,external,0.3800995024875622,0.6417863006185724,0.0,0.8170731707317073,1.0,0.0,97,11.999999999999998,0.0,0.0
B1_mean,xiangya,123,val,0.6708333333333333,0.48805820853872817,0.1983673196268351,0.5573770491803278,0.85,0.3333333333333333,56,11.999999999999998,0.0,0.0
B1_mean,xiangya,123,external,0.4651741293532339,0.6526975402261637,0.2168352920067421,0.8271604938271605,1.0,0.06666666666666667,97,11.999999999999998,0.0,0.0
B1_mean,xiangya,2024,val,0.7194444444444444,0.6006089840135893,0.20759971844307282,0.5625,0.9,0.2777777777777778,56,11.999999999999998,0.0,0.0
B1_mean,xiangya,2024,external,0.44378109452736314,0.6329229820129907,-0.06829479558851913,0.8098159509202454,0.9850746268656716,0.0,97,11.999999999999998,0.0,0.0
B1_mean,xiangya,3407,val,0.6333333333333333,0.5148001112528189,0.18090680674665816,0.5538461538461539,0.9,0.25,56,11.999999999999998,0.0,0.0
B1_mean,xiangya,3407,external,0.6338308457711442,0.7737409899586971,-0.0970904292567502,0.8024691358024691,0.9701492537313433,0.0,97,11.999999999999998,0.0,0.0
B1_mean,xiangya,114514,val,0.663888888888889,0.4862077827199647,0.062017367294604234,0.5277777777777778,0.95,0.08333333333333333,56,11.999999999999998,0.0,0.0
B1_mean,xiangya,114514,external,0.3427860696517413,0.5995266885765371,0.0,0.8170731707317073,1.0,0.0,97,11.999999999999998,0.0,0.0
Ours_UW_noAux,huaxi,42,val,0.7156511350059737,0.7065179076639412,0.323714815841943,0.6666666666666666,0.7407407407407407,0.5806451612903226,58,11.995263686013418,0.2538801934998269,0.009510226344636179
Ours_UW_noAux,huaxi,42,external,0.5522727272727272,0.4134030752880616,0.0,0.5378151260504201,1.0,0.0,87,11.992522843562096,0.26474804281332026,0.012161572847999255
Ours_UW_noAux,huaxi,123,val,0.7120669056152927,0.7148258916651207,0.30214108699501097,0.6666666666666666,0.7777777777777778,0.5161290322580645,58,11.996227661309703,0.24896867862292402,0.008643029870795097
Ours_UW_noAux,huaxi,123,external,0.5590909090909092,0.42259711409020645,0.0,0.5378151260504201,1.0,0.0,87,11.9957983849753,0.25261375415085374,0.009100012879180639
Ours_UW_noAux,huaxi,2024,val,0.7299880525686977,0.7105015672052546,0.3859020310633214,0.6896551724137931,0.7407407407407407,0.6451612903225806,58,11.993276948512786,0.24345220192924313,0.01123202354438835
